Unnamed: 0,userName,score,at,content,content_lower,content_token,content_no_stopwords,content_stemmed,Topic
0,Hari Bangga,1,2025-06-17 03:40:56,malah gak bisa di buka app nya,malah gak bisa di buka app nya,"['malah', 'gak', 'bisa', 'di', 'buka', 'app', 'nya']","['gak', 'buka', 'app', 'nya']","['gak', 'buka', 'app', 'nya']",-1
1,Adhiska Faatihah,3,2025-06-17 00:10:27,"di setiap daftar menu makanan nya tolong tambahkan tulisan angka harga nya, supaya saya beli tidak kurang duitnya","di setiap daftar menu makanan nya tolong tambahkan tulisan angka harga nya, supaya saya beli tidak kurang duitnya","['di', 'setiap', 'daftar', 'menu', 'makanan', 'nya', 'tolong', 'tambahkan', 'tulisan', 'angka', 'harga', 'nya', ',', 'supaya', 'saya', 'beli', 'tidak', 'kurang', 'duitnya']","['daftar', 'menu', 'makanan', 'nya', 'tolong', 'tambahkan', 'tulisan', 'angka', 'harga', 'nya', ',', 'beli', 'duitnya']","['daftar', 'menu', 'makan', 'nya', 'tolong', 'tambah', 'tulis', 'angka', 'harga', 'nya', '', 'beli', 'duit']",54
2,Rizkia Wulan,1,2025-06-16 04:02:19,Lawak lama² nih apk. Mau nuker mcspicy pagi² masih ada pas malamnya hilang promonya. Voucher yg sebelumnya² ada tiba² juga hilang lawak udah gitu gak bisa diklaim lagi,lawak lama² nih apk. mau nuker mcspicy pagi² masih ada pas malamnya hilang promonya. voucher yg sebelumnya² ada tiba² juga hilang lawak udah gitu gak bisa diklaim lagi,"['lawak', 'lama²', 'nih', 'apk', '.', 'mau', 'nuker', 'mcspicy', 'pagi²', 'masih', 'ada', 'pas', 'malamnya', 'hilang', 'promonya', '.', 'voucher', 'yg', 'sebelumnya²', 'ada', 'tiba²', 'juga', 'hilang', 'lawak', 'udah', 'gitu', 'gak', 'bisa', 'diklaim', 'lagi']","['lawak', 'lama²', 'nih', 'apk', '.', 'nuker', 'mcspicy', 'pagi²', 'pas', 'malamnya', 'hilang', 'promonya', '.', 'voucher', 'yg', 'sebelumnya²', 'tiba²', 'hilang', 'lawak', 'udah', 'gitu', 'gak', 'diklaim']","['lawak', 'lama', 'nih', 'apk', '', 'nuker', 'mcspicy', 'pagi', 'pas', 'malam', 'hilang', 'promonya', '', 'voucher', 'yg', 'belum', 'tiba', 'hilang', 'lawak', 'udah', 'gitu', 'gak', 'klaim']",-1
3,Arief Maulana,1,2025-06-16 02:09:46,promo nya MCD delivery terus.. Ga kejangkau area,promo nya mcd delivery terus.. ga kejangkau area,"['promo', 'nya', 'mcd', 'delivery', 'terus', '..', 'ga', 'kejangkau', 'area']","['promo', 'nya', 'mcd', 'delivery', '..', 'ga', 'kejangkau', 'area']","['promo', 'nya', 'mcd', 'delivery', '', 'ga', 'jangkau', 'area']",-1
4,Bram Kalimantara,3,2025-06-15 11:01:17,habis update aplikasi malah gabisa dibuka min,habis update aplikasi malah gabisa dibuka min,"['habis', 'update', 'aplikasi', 'malah', 'gabisa', 'dibuka', 'min']","['habis', 'update', 'aplikasi', 'gabisa', 'dibuka', 'min']","['habis', 'update', 'aplikasi', 'gabisa', 'buka', 'min']",30
5,Dery J,2,2025-06-15 04:27:11,"ga bisa pilih opsi minuman, bagian ayam yang di mau, dan super lemot","ga bisa pilih opsi minuman, bagian ayam yang di mau, dan super lemot","['ga', 'bisa', 'pilih', 'opsi', 'minuman', ',', 'bagian', 'ayam', 'yang', 'di', 'mau', ',', 'dan', 'super', 'lemot']","['ga', 'pilih', 'opsi', 'minuman', ',', 'ayam', ',', 'super', 'lemot']","['ga', 'pilih', 'opsi', 'minum', '', 'ayam', '', 'super', 'lot']",9
6,Bagus Permono,5,2025-06-14 09:13:38,Mantap,mantap,['mantap'],['mantap'],['mantap'],3
7,Rizal Fozan,1,2025-06-14 03:46:06,"Aplikasi Eror Terus, Payahhhjb","aplikasi eror terus, payahhhjb","['aplikasi', 'eror', 'terus', ',', 'payahhhjb']","['aplikasi', 'eror', ',', 'payahhhjb']","['aplikasi', 'eror', '', 'payahhhjb']",55
8,Mi Tar,1,2025-06-10 15:57:15,kenapa saya ga bisa masuk ya gagal trus 🤔,kenapa saya ga bisa masuk ya gagal trus 🤔,"['kenapa', 'saya', 'ga', 'bisa', 'masuk', 'ya', 'gagal', 'trus', '🤔']","['ga', 'masuk', 'ya', 'gagal', 'trus', '🤔']","['ga', 'masuk', 'ya', 'gagal', 'trus', '']",13
9,vincent,5,2025-06-10 14:39:42,Rasa emang ngak pernah bohong MCD dan KFC yg terbaik,rasa emang ngak pernah bohong mcd dan kfc yg terbaik,"['rasa', 'emang', 'ngak', 'pernah', 'bohong', 'mcd', 'dan', 'kfc', 'yg', 'terbaik']","['emang', 'ngak', 'bohong', 'mcd', 'kfc', 'yg', 'terbaik']","['emang', 'ngak', 'bohong', 'mcd', 'kfc', 'yg', 'baik']",-1
10,Heri caddi,1,2025-06-10 10:48:20,"voucher nya ilang, padahal exp sampai lusa","voucher nya ilang, padahal exp sampai lusa","['voucher', 'nya', 'ilang', ',', 'padahal', 'exp', 'sampai', 'lusa']","['voucher', 'nya', 'ilang', ',', 'exp', 'lusa']","['voucher', 'nya', 'ilang', '', 'exp', 'lusa']",47
11,Acun Thumbal,1,2025-06-10 01:19:57,APLIKASI TERPARAH.. TIDAK DAPAT DIBUKA SAMA SEKALI,aplikasi terparah.. tidak dapat dibuka sama sekali,"['aplikasi', 'terparah', '..', 'tidak', 'dapat', 'dibuka', 'sama', 'sekali']","['aplikasi', 'terparah', '..', 'dibuka']","['aplikasi', 'parah', '', 'buka']",45
12,Ladang Bayu Damara,1,2025-06-09 16:41:03,bagus yang dulu mudah gak ribet pembayaran,bagus yang dulu mudah gak ribet pembayaran,"['bagus', 'yang', 'dulu', 'mudah', 'gak', 'ribet', 'pembayaran']","['bagus', 'mudah', 'gak', 'ribet', 'pembayaran']","['bagus', 'mudah', 'gak', 'ribet', 'bayar']",14
13,Asthree Moy,1,2025-06-08 07:36:37,aplikasi bapuk...ga jelas .gmna orang mau pesen..percuma bikin aplikasi luh mcd..ga jelas ..belom makan udh kesel dluan,aplikasi bapuk...ga jelas .gmna orang mau pesen..percuma bikin aplikasi luh mcd..ga jelas ..belom makan udh kesel dluan,"['aplikasi', 'bapuk', '...', 'ga', 'jelas', '.gmna', 'orang', 'mau', 'pesen', '..', 'percuma', 'bikin', 'aplikasi', 'luh', 'mcd', '..', 'ga', 'jelas', '..', 'belom', 'makan', 'udh', 'kesel', 'dluan']","['aplikasi', 'bapuk', '...', 'ga', '.gmna', 'orang', 'pesen', '..', 'bikin', 'aplikasi', 'luh', 'mcd', '..', 'ga', '..', 'belom', 'makan', 'udh', 'kesel', 'dluan']","['aplikasi', 'bapuk', '', 'ga', 'gmna', 'orang', 'sen', '', 'bikin', 'aplikasi', 'luh', 'mcd', '', 'ga', '', 'bom', 'makan', 'udh', 'kesel', 'dluan']",-1
14,Rayana Anggara,1,2025-06-05 15:38:51,order makanan via drive thru payment pakai gopay dan saldo terpotong tapi transaki nya error trus dana nya gimana?,order makanan via drive thru payment pakai gopay dan saldo terpotong tapi transaki nya error trus dana nya gimana?,"['order', 'makanan', 'via', 'drive', 'thru', 'payment', 'pakai', 'gopay', 'dan', 'saldo', 'terpotong', 'tapi', 'transaki', 'nya', 'error', 'trus', 'dana', 'nya', 'gimana', '?']","['order', 'makanan', 'via', 'drive', 'thru', 'payment', 'pakai', 'gopay', 'saldo', 'terpotong', 'transaki', 'nya', 'error', 'trus', 'dana', 'nya', 'gimana', '?']","['order', 'makan', 'via', 'drive', 'thru', 'payment', 'pakai', 'gopay', 'saldo', 'potong', 'transaki', 'nya', 'error', 'trus', 'dana', 'nya', 'gimana', '']",-1
15,Hananun Rahmadi,1,2025-06-05 15:24:00,uprade aplikasi malah makin ribet,uprade aplikasi malah makin ribet,"['uprade', 'aplikasi', 'malah', 'makin', 'ribet']","['uprade', 'aplikasi', 'ribet']","['uprade', 'aplikasi', 'ribet']",-1
16,Aji Prasetyo,2,2025-06-04 17:17:00,"aplikasi trackingnya ga bagus, ga tau smpe atau belumnya.","aplikasi trackingnya ga bagus, ga tau smpe atau belumnya.","['aplikasi', 'trackingnya', 'ga', 'bagus', ',', 'ga', 'tau', 'smpe', 'atau', 'belumnya', '.']","['aplikasi', 'trackingnya', 'ga', 'bagus', ',', 'ga', 'tau', 'smpe', 'belumnya', '.']","['aplikasi', 'trackingnya', 'ga', 'bagus', '', 'ga', 'tau', 'smpe', 'belum', '']",8
17,Ika Sofi,2,2025-06-04 16:12:00,"Tidak bisa klik keranjang dan lanjut pembayaran untuk pemesanan delivery. sudah hapus chace tetap saja seperti itu. setelah lihat review apk, beruntung ga sampe lanjut ke pembayaran, lg butuh cepat, masa iya harus nunggu berjam2","tidak bisa klik keranjang dan lanjut pembayaran untuk pemesanan delivery. sudah hapus chace tetap saja seperti itu. setelah lihat review apk, beruntung ga sampe lanjut ke pembayaran, lg butuh cepat, masa iya harus nunggu berjam2","['tidak', 'bisa', 'klik', 'keranjang', 'dan', 'lanjut', 'pembayaran', 'untuk', 'pemesanan', 'delivery', '.', 'sudah', 'hapus', 'chace', 'tetap', 'saja', 'seperti', 'itu', '.', 'setelah', 'lihat', 'review', 'apk', ',', 'beruntung', 'ga', 'sampe', 'lanjut', 'ke', 'pembayaran', ',', 'lg', 'butuh', 'cepat', ',', 'masa', 'iya', 'harus', 'nunggu', 'berjam2']","['klik', 'keranjang', 'pembayaran', 'pemesanan', 'delivery', '.', 'hapus', 'chace', '.', 'lihat', 'review', 'apk', ',', 'beruntung', 'ga', 'sampe', 'pembayaran', ',', 'lg', 'butuh', 'cepat', ',', 'iya', 'nunggu', 'berjam2']","['klik', 'keranjang', 'bayar', 'mesan', 'delivery', '', 'hapus', 'chace', '', 'lihat', 'review', 'apk', '', 'untung', 'ga', 'sampe', 'bayar', '', 'lg', 'butuh', 'cepat', '', 'iya', 'nunggu', 'berjam2']",5
18,afry bisnis,1,2025-06-04 05:46:52,parah malah lag,parah malah lag,"['parah', 'malah', 'lag']","['parah', 'lag']","['parah', 'lag']",94
19,Muhammad rohmat Supriyadi,5,2025-06-04 03:26:51,baikkk,baikkk,['baikkk'],['baikkk'],['baikkk'],84
20,Ardi,5,2025-06-04 01:45:45,keren,keren,['keren'],['keren'],['keren'],18
21,Juanrichi,1,2025-06-03 11:55:38,poin saat saya tukar produknya habis begitu saya kembali ke awal poinnya tetap terpotong padahal produknya habis,poin saat saya tukar produknya habis begitu saya kembali ke awal poinnya tetap terpotong padahal produknya habis,"['poin', 'saat', 'saya', 'tukar', 'produknya', 'habis', 'begitu', 'saya', 'kembali', 'ke', 'awal', 'poinnya', 'tetap', 'terpotong', 'padahal', 'produknya', 'habis']","['poin', 'tukar', 'produknya', 'habis', 'poinnya', 'terpotong', 'produknya', 'habis']","['poin', 'tukar', 'produk', 'habis', 'poin', 'potong', 'produk', 'habis']",86
22,Akun jios20,1,2025-06-03 04:45:05,wkwk gacurang tetep diilangin vouchernya,wkwk gacurang tetep diilangin vouchernya,"['wkwk', 'gacurang', 'tetep', 'diilangin', 'vouchernya']","['wkwk', 'gacurang', 'tetep', 'diilangin', 'vouchernya']","['wkwk', 'gacurang', 'tetep', 'diilangin', 'vouchernya']",47
23,Taman Bu Woro,1,2025-06-03 02:54:04,android 7 gak didukung lagi,android 7 gak didukung lagi,"['android', '7', 'gak', 'didukung', 'lagi']","['android', '7', 'gak', 'didukung']","['android', '7', 'gak', 'dukung']",98
24,Nansd Dusa,1,2025-06-02 05:11:02,tidak bisa di buka. error knapa ya,tidak bisa di buka. error knapa ya,"['tidak', 'bisa', 'di', 'buka', '.', 'error', 'knapa', 'ya']","['buka', '.', 'error', 'knapa', 'ya']","['buka', '', 'error', 'knapa', 'ya']",13
25,WAHYULISTY LISTYO,2,2025-06-02 03:57:37,katanya 24 jam pas nongkrong lama langsung pada sewot tu pegawai dan AC sengaja di full biar pada kedinginan dan cabut pergi kali yee sama2 pribumi lu pegawai jgn jadi penjilat antek asing donk terutama di area Sidoarjo,katanya 24 jam pas nongkrong lama langsung pada sewot tu pegawai dan ac sengaja di full biar pada kedinginan dan cabut pergi kali yee sama2 pribumi lu pegawai jgn jadi penjilat antek asing donk terutama di area sidoarjo,"['katanya', '24', 'jam', 'pas', 'nongkrong', 'lama', 'langsung', 'pada', 'sewot', 'tu', 'pegawai', 'dan', 'ac', 'sengaja', 'di', 'full', 'biar', 'pada', 'kedinginan', 'dan', 'cabut', 'pergi', 'kali', 'yee', 'sama2', 'pribumi', 'lu', 'pegawai', 'jgn', 'jadi', 'penjilat', 'antek', 'asing', 'donk', 'terutama', 'di', 'area', 'sidoarjo']","['24', 'jam', 'pas', 'nongkrong', 'langsung', 'sewot', 'tu', 'pegawai', 'ac', 'sengaja', 'full', 'biar', 'kedinginan', 'cabut', 'pergi', 'kali', 'yee', 'sama2', 'pribumi', 'lu', 'pegawai', 'jgn', 'penjilat', 'antek', 'asing', 'donk', 'area', 'sidoarjo']","['24', 'jam', 'pas', 'nongkrong', 'langsung', 'sewot', 'tu', 'pegawai', 'ac', 'sengaja', 'full', 'biar', 'dingin', 'cabut', 'pergi', 'kali', 'yee', 'sama2', 'pribumi', 'lu', 'pegawai', 'jgn', 'jilat', 'antek', 'asing', 'donk', 'area', 'sidoarjo']",50
26,Pahlupi Keren,5,2025-06-01 23:43:07,aplikasi ini banggus banget super jos lah 🥰🥰,aplikasi ini banggus banget super jos lah 🥰🥰,"['aplikasi', 'ini', 'banggus', 'banget', 'super', 'jos', 'lah', '🥰🥰']","['aplikasi', 'banggus', 'banget', 'super', 'jos', '🥰🥰']","['aplikasi', 'banggus', 'banget', 'super', 'jos', '']",8
27,Alfi Nurfida,1,2025-06-01 15:18:30,"aplikasi untuk delivery menyebalkan , gak bsa tracking pemesanan ... akhirnya gk ada estimasi kapan sampe , bisa 2 jam 3 jam atau butuh seharian buat nunggu pesenan kita ? 👊🏻","aplikasi untuk delivery menyebalkan , gak bsa tracking pemesanan ... akhirnya gk ada estimasi kapan sampe , bisa 2 jam 3 jam atau butuh seharian buat nunggu pesenan kita ? 👊🏻","['aplikasi', 'untuk', 'delivery', 'menyebalkan', ',', 'gak', 'bsa', 'tracking', 'pemesanan', '...', 'akhirnya', 'gk', 'ada', 'estimasi', 'kapan', 'sampe', ',', 'bisa', '2', 'jam', '3', 'jam', 'atau', 'butuh', 'seharian', 'buat', 'nunggu', 'pesenan', 'kita', '?', '👊🏻']","['aplikasi', 'delivery', 'menyebalkan', ',', 'gak', 'bsa', 'tracking', 'pemesanan', '...', 'gk', 'estimasi', 'sampe', ',', '2', 'jam', '3', 'jam', 'butuh', 'seharian', 'nunggu', 'pesenan', '?', '👊🏻']","['aplikasi', 'delivery', 'sebal', '', 'gak', 'bsa', 'tracking', 'mesan', '', 'gk', 'estimasi', 'sampe', '', '2', 'jam', '3', 'jam', 'butuh', 'hari', 'nunggu', 'sen', '', '']",5
28,aynother,1,2025-06-01 10:44:15,lemot parahdan jarang ada prono,lemot parahdan jarang ada prono,"['lemot', 'parahdan', 'jarang', 'ada', 'prono']","['lemot', 'parahdan', 'jarang', 'prono']","['lot', 'parahdan', 'jarang', 'prono']",33
29,Muhammad Rizal,1,2025-06-01 08:24:57,Lemot parah !!!,lemot parah !!!,"['lemot', 'parah', '!', '!', '!']","['lemot', 'parah', '!', '!', '!']","['lot', 'parah', '', '', '']",48
30,Catur Pamungkas,1,2025-05-31 23:04:59,"aplikasi baru download, suruh update? gak jelas aplikasi, di keterangan, baru update terbaru","aplikasi baru download, suruh update? gak jelas aplikasi, di keterangan, baru update terbaru","['aplikasi', 'baru', 'download', ',', 'suruh', 'update', '?', 'gak', 'jelas', 'aplikasi', ',', 'di', 'keterangan', ',', 'baru', 'update', 'terbaru']","['aplikasi', 'download', ',', 'suruh', 'update', '?', 'gak', 'aplikasi', ',', 'keterangan', ',', 'update', 'terbaru']","['aplikasi', 'download', '', 'suruh', 'update', '', 'gak', 'aplikasi', '', 'terang', '', 'update', 'baru']",30
31,Jan Imhesic,2,2025-05-31 23:00:41,pake promo tapi malah pesen satu satu kalo ada yang susah kenapa harus mudah kurang lebih begitulah. promo yang dikasih juga kalo mau jujur tetap mahal apalagi gak pakai aplikasi ya pasti tekor lah. kalo dibandingin sama app si raja ya mereka menang karena promonya benar-benar terasa dan bukan sekedar formalitas belaka,pake promo tapi malah pesen satu satu kalo ada yang susah kenapa harus mudah kurang lebih begitulah. promo yang dikasih juga kalo mau jujur tetap mahal apalagi gak pakai aplikasi ya pasti tekor lah. kalo dibandingin sama app si raja ya mereka menang karena promonya benar-benar terasa dan bukan sekedar formalitas belaka,"['pake', 'promo', 'tapi', 'malah', 'pesen', 'satu', 'satu', 'kalo', 'ada', 'yang', 'susah', 'kenapa', 'harus', 'mudah', 'kurang', 'lebih', 'begitulah', '.', 'promo', 'yang', 'dikasih', 'juga', 'kalo', 'mau', 'jujur', 'tetap', 'mahal', 'apalagi', 'gak', 'pakai', 'aplikasi', 'ya', 'pasti', 'tekor', 'lah', '.', 'kalo', 'dibandingin', 'sama', 'app', 'si', 'raja', 'ya', 'mereka', 'menang', 'karena', 'promonya', 'benar-benar', 'terasa', 'dan', 'bukan', 'sekedar', 'formalitas', 'belaka']","['pake', 'promo', 'pesen', 'kalo', 'susah', 'mudah', '.', 'promo', 'dikasih', 'kalo', 'jujur', 'mahal', 'gak', 'pakai', 'aplikasi', 'ya', 'tekor', '.', 'kalo', 'dibandingin', 'app', 'si', 'raja', 'ya', 'menang', 'promonya', 'benar-benar', 'sekedar', 'formalitas', 'belaka']","['pake', 'promo', 'sen', 'kalo', 'susah', 'mudah', '', 'promo', 'kasih', 'kalo', 'jujur', 'mahal', 'gak', 'pakai', 'aplikasi', 'ya', 'tekor', '', 'kalo', 'dibandingin', 'app', 'si', 'raja', 'ya', 'menang', 'promonya', 'benar', 'dar', 'formalitas', 'belaka']",26
32,Steven tok,1,2025-05-31 17:59:30,Tukar poin eskrim tidak bisa hangus 30 poin.,tukar poin eskrim tidak bisa hangus 30 poin.,"['tukar', 'poin', 'eskrim', 'tidak', 'bisa', 'hangus', '30', 'poin', '.']","['tukar', 'poin', 'eskrim', 'hangus', '30', 'poin', '.']","['tukar', 'poin', 'eskrim', 'hangus', '30', 'poin', '']",108
33,Indira Feristiani,1,2025-05-31 02:36:33,apps nya lemot ga friendly.trs orderannnya jd lama banget dateng nya ya ga tau knp,apps nya lemot ga friendly.trs orderannnya jd lama banget dateng nya ya ga tau knp,"['apps', 'nya', 'lemot', 'ga', 'friendly.trs', 'orderannnya', 'jd', 'lama', 'banget', 'dateng', 'nya', 'ya', 'ga', 'tau', 'knp']","['apps', 'nya', 'lemot', 'ga', 'friendly.trs', 'orderannnya', 'jd', 'banget', 'dateng', 'nya', 'ya', 'ga', 'tau', 'knp']","['apps', 'nya', 'lot', 'ga', 'friendly trs', 'orderannnya', 'jd', 'banget', 'dateng', 'nya', 'ya', 'ga', 'tau', 'knp']",-1
34,Galumbang 1808,5,2025-05-30 17:15:40,McDonald sangat Baik dan menu makanan nya sangat enak dan Lezat. Mohon di berikan Hadiah Ulang Tahun saya Tanggal 18 Agustus. Terima kasih.,mcdonald sangat baik dan menu makanan nya sangat enak dan lezat. mohon di berikan hadiah ulang tahun saya tanggal 18 agustus. terima kasih.,"['mcdonald', 'sangat', 'baik', 'dan', 'menu', 'makanan', 'nya', 'sangat', 'enak', 'dan', 'lezat', '.', 'mohon', 'di', 'berikan', 'hadiah', 'ulang', 'tahun', 'saya', 'tanggal', '18', 'agustus', '.', 'terima', 'kasih', '.']","['mcdonald', 'menu', 'makanan', 'nya', 'enak', 'lezat', '.', 'mohon', 'hadiah', 'ulang', 'tanggal', '18', 'agustus', '.', 'terima', 'kasih', '.']","['mcdonald', 'menu', 'makan', 'nya', 'enak', 'lezat', '', 'mohon', 'hadiah', 'ulang', 'tanggal', '18', 'agustus', '', 'terima', 'kasih', '']",-1
35,Vivi Fatmawati,1,2025-05-30 07:14:27,"aplikasinya aneh tiba2 gabisa buka, voucher juga aneh kdg kluar kdg ga","aplikasinya aneh tiba2 gabisa buka, voucher juga aneh kdg kluar kdg ga","['aplikasinya', 'aneh', 'tiba2', 'gabisa', 'buka', ',', 'voucher', 'juga', 'aneh', 'kdg', 'kluar', 'kdg', 'ga']","['aplikasinya', 'aneh', 'tiba2', 'gabisa', 'buka', ',', 'voucher', 'aneh', 'kdg', 'kluar', 'kdg', 'ga']","['aplikasi', 'aneh', 'tiba2', 'gabisa', 'buka', '', 'voucher', 'aneh', 'kdg', 'kluar', 'kdg', 'ga']",-1
36,fahri r,5,2025-05-29 23:31:11,bagus membantu,bagus membantu,"['bagus', 'membantu']","['bagus', 'membantu']","['bagus', 'bantu']",65
37,Melia Gumay,2,2025-05-29 05:28:31,kok sekarang masa isi email nya dan sandi itu ngetik gak ada tulisannya apa sy yg salah atau dr aplikasi nya bikin sy bngung aja ... tolong dibantu apa mata sy yg salah ya padahal. dulu gak gini dah,kok sekarang masa isi email nya dan sandi itu ngetik gak ada tulisannya apa sy yg salah atau dr aplikasi nya bikin sy bngung aja ... tolong dibantu apa mata sy yg salah ya padahal. dulu gak gini dah,"['kok', 'sekarang', 'masa', 'isi', 'email', 'nya', 'dan', 'sandi', 'itu', 'ngetik', 'gak', 'ada', 'tulisannya', 'apa', 'sy', 'yg', 'salah', 'atau', 'dr', 'aplikasi', 'nya', 'bikin', 'sy', 'bngung', 'aja', '...', 'tolong', 'dibantu', 'apa', 'mata', 'sy', 'yg', 'salah', 'ya', 'padahal', '.', 'dulu', 'gak', 'gini', 'dah']","['isi', 'email', 'nya', 'sandi', 'ngetik', 'gak', 'tulisannya', 'sy', 'yg', 'salah', 'dr', 'aplikasi', 'nya', 'bikin', 'sy', 'bngung', 'aja', '...', 'tolong', 'dibantu', 'mata', 'sy', 'yg', 'salah', 'ya', '.', 'gak', 'gini', 'dah']","['isi', 'email', 'nya', 'sandi', 'ngetik', 'gak', 'tulis', 'sy', 'yg', 'salah', 'dr', 'aplikasi', 'nya', 'bikin', 'sy', 'bngung', 'aja', '', 'tolong', 'bantu', 'mata', 'sy', 'yg', 'salah', 'ya', '', 'gak', 'gin', 'dah']",4
